main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.01, eps_frames=1200, eps_start=1.0, frames=30000, games=500, gamma=0.99, log_interval=1, lr=0.05, model=None, save_interval=1, seed=7)

Environments loaded

Training status loaded

U 3 | F 3 | G 1 | D 0 | EPS 0.998 | L -0.030 | R 1.000 | Avg L -0.030 | Avg R 1.000
U 22 | F 22 | G 7 | D 0 | EPS 0.983 | L -4.205 | R 3.000 | Avg L -0.601 | Avg R 0.429
U 23 | F 23 | G 7 | D 0 | EPS 0.982 | L -4.205 | R 3.000 | Avg L -0.601 | Avg R 0.429
U 24 | F 24 | G 7 | D 0 | EPS 0.981 | L -4.205 | R 3.000 | Avg L -0.601 | Avg R 0.429
U 24 | F 24 | G 8 | D 0 | EPS 0.980 | L -5.378 | R 3.000 | Avg L -0.672 | Avg R 0.375
U 25 | F 25 | G 8 | D 0 | EPS 0.980 | L -5.378 | R 3.000 | Avg L -0.672 | Avg R 0.375
U 26 | F 26 | G 8 | D 0 | EPS 0.979 | L -5.378 | R 3.000 | Avg L -0.672 | Avg R 0.375
U 27 | F 27 | G 8 | D 0 | EPS 0.978 | L -5.378 | R 3.000 | Avg L -0.672 | Avg R 0.375
U 27 | F 27 | G 9 | D 0 | EPS 0.978 | L -5.398 | R 4.000 | Avg L -0.600 | Avg R 0.444
U 28 | F 28 | G 9 | D 0 | EPS 0.978 | L -5.398 | R 4.000 | Avg L -0.600 | Avg R 0.444
U 29 | F 29 | G 9 | D 0 | EPS 0.977 | L -5.398 | R 4.000 | Avg L -0.600 | Avg R 0.444
U 30 | F 30 | G 9 | D 0 | EPS 0.976 | L -5.398 | R 4.000 | Avg L -0.600 | Avg R 0.444
U 30 | F 30 | G 10 | D 0 | EPS 0.975 | L -6.428 | R 4.000 | Avg L -0.643 | Avg R 0.400
U 31 | F 31 | G 10 | D 0 | EPS 0.975 | L -6.428 | R 4.000 | Avg L -0.643 | Avg R 0.400
U 32 | F 32 | G 10 | D 0 | EPS 0.974 | L -6.428 | R 4.000 | Avg L -0.643 | Avg R 0.400
U 33 | F 33 | G 10 | D 0 | EPS 0.973 | L -6.428 | R 4.000 | Avg L -0.643 | Avg R 0.400
U 33 | F 33 | G 11 | D 0 | EPS 0.973 | L -7.453 | R 4.000 | Avg L -0.678 | Avg R 0.364
U 34 | F 34 | G 11 | D 0 | EPS 0.973 | L -7.453 | R 4.000 | Avg L -0.678 | Avg R 0.364
U 35 | F 35 | G 11 | D 0 | EPS 0.972 | L -7.453 | R 4.000 | Avg L -0.678 | Avg R 0.364
U 36 | F 36 | G 11 | D 0 | EPS 0.971 | L -7.453 | R 4.000 | Avg L -0.678 | Avg R 0.364
U 36 | F 36 | G 12 | D 0 | EPS 0.970 | L -8.472 | R 4.000 | Avg L -0.706 | Avg R 0.333
U 37 | F 37 | G 12 | D 0 | EPS 0.970 | L -8.472 | R 4.000 | Avg L -0.706 | Avg R 0.333
U 38 | F 38 | G 12 | D 0 | EPS 0.969 | L -8.472 | R 4.000 | Avg L -0.706 | Avg R 0.333
U 39 | F 39 | G 12 | D 0 | EPS 0.968 | L -8.472 | R 4.000 | Avg L -0.706 | Avg R 0.333
U 39 | F 39 | G 13 | D 0 | EPS 0.968 | L -8.501 | R 5.000 | Avg L -0.654 | Avg R 0.385
U 40 | F 40 | G 13 | D 0 | EPS 0.968 | L -8.501 | R 5.000 | Avg L -0.654 | Avg R 0.385
U 41 | F 41 | G 13 | D 0 | EPS 0.967 | L -8.501 | R 5.000 | Avg L -0.654 | Avg R 0.385
U 42 | F 42 | G 13 | D 0 | EPS 0.966 | L -8.501 | R 5.000 | Avg L -0.654 | Avg R 0.385
U 42 | F 42 | G 14 | D 0 | EPS 0.965 | L -9.425 | R 5.000 | Avg L -0.673 | Avg R 0.357
U 43 | F 43 | G 14 | D 0 | EPS 0.965 | L -9.425 | R 5.000 | Avg L -0.673 | Avg R 0.357
U 44 | F 44 | G 14 | D 0 | EPS 0.964 | L -9.425 | R 5.000 | Avg L -0.673 | Avg R 0.357
U 45 | F 45 | G 14 | D 0 | EPS 0.963 | L -9.425 | R 5.000 | Avg L -0.673 | Avg R 0.357
U 45 | F 45 | G 15 | D 0 | EPS 0.963 | L -9.453 | R 6.000 | Avg L -0.630 | Avg R 0.400
U 46 | F 46 | G 15 | D 0 | EPS 0.963 | L -9.453 | R 6.000 | Avg L -0.630 | Avg R 0.400
U 47 | F 47 | G 15 | D 0 | EPS 0.962 | L -9.453 | R 6.000 | Avg L -0.630 | Avg R 0.400
U 48 | F 48 | G 15 | D 0 | EPS 0.961 | L -9.453 | R 6.000 | Avg L -0.630 | Avg R 0.400
U 48 | F 48 | G 16 | D 0 | EPS 0.960 | L -10.482 | R 6.000 | Avg L -0.655 | Avg R 0.375
U 49 | F 49 | G 16 | D 0 | EPS 0.960 | L -10.482 | R 6.000 | Avg L -0.655 | Avg R 0.375
U 50 | F 50 | G 16 | D 0 | EPS 0.959 | L -10.482 | R 6.000 | Avg L -0.655 | Avg R 0.375
U 51 | F 51 | G 16 | D 0 | EPS 0.958 | L -10.482 | R 6.000 | Avg L -0.655 | Avg R 0.375
U 51 | F 51 | G 17 | D 0 | EPS 0.958 | L -10.511 | R 7.000 | Avg L -0.618 | Avg R 0.412
U 52 | F 52 | G 17 | D 0 | EPS 0.958 | L -10.511 | R 7.000 | Avg L -0.618 | Avg R 0.412
U 53 | F 53 | G 17 | D 0 | EPS 0.957 | L -10.511 | R 7.000 | Avg L -0.618 | Avg R 0.412
U 54 | F 54 | G 17 | D 0 | EPS 0.956 | L -10.511 | R 7.000 | Avg L -0.618 | Avg R 0.412
U 54 | F 54 | G 18 | D 0 | EPS 0.955 | L -10.542 | R 8.000 | Avg L -0.586 | Avg R 0.444
U 55 | F 55 | G 18 | D 0 | EPS 0.955 | L -10.542 | R 8.000 | Avg L -0.586 | Avg R 0.444
U 56 | F 56 | G 18 | D 0 | EPS 0.954 | L -10.542 | R 8.000 | Avg L -0.586 | Avg R 0.444
U 57 | F 57 | G 18 | D 0 | EPS 0.953 | L -10.542 | R 8.000 | Avg L -0.586 | Avg R 0.444
U 57 | F 57 | G 19 | D 0 | EPS 0.953 | L -11.569 | R 8.000 | Avg L -0.609 | Avg R 0.421
U 58 | F 58 | G 19 | D 0 | EPS 0.953 | L -11.569 | R 8.000 | Avg L -0.609 | Avg R 0.421
U 59 | F 59 | G 19 | D 0 | EPS 0.952 | L -11.569 | R 8.000 | Avg L -0.609 | Avg R 0.421
U 60 | F 60 | G 19 | D 0 | EPS 0.951 | L -11.569 | R 8.000 | Avg L -0.609 | Avg R 0.421
U 60 | F 60 | G 20 | D 0 | EPS 0.950 | L -12.596 | R 8.000 | Avg L -0.630 | Avg R 0.400
U 61 | F 61 | G 20 | D 0 | EPS 0.950 | L -12.596 | R 8.000 | Avg L -0.630 | Avg R 0.400
U 62 | F 62 | G 20 | D 0 | EPS 0.949 | L -12.596 | R 8.000 | Avg L -0.630 | Avg R 0.400
U 63 | F 63 | G 20 | D 0 | EPS 0.948 | L -12.596 | R 8.000 | Avg L -0.630 | Avg R 0.400
U 63 | F 63 | G 21 | D 0 | EPS 0.948 | L -12.609 | R 9.000 | Avg L -0.600 | Avg R 0.429
U 64 | F 64 | G 21 | D 0 | EPS 0.948 | L -12.609 | R 9.000 | Avg L -0.600 | Avg R 0.429
U 65 | F 65 | G 21 | D 0 | EPS 0.947 | L -12.609 | R 9.000 | Avg L -0.600 | Avg R 0.429
U 66 | F 66 | G 21 | D 0 | EPS 0.946 | L -12.609 | R 9.000 | Avg L -0.600 | Avg R 0.429
U 66 | F 66 | G 22 | D 0 | EPS 0.945 | L -13.686 | R 9.000 | Avg L -0.622 | Avg R 0.409
U 67 | F 67 | G 22 | D 0 | EPS 0.945 | L -13.686 | R 9.000 | Avg L -0.622 | Avg R 0.409
U 68 | F 68 | G 22 | D 0 | EPS 0.944 | L -13.686 | R 9.000 | Avg L -0.622 | Avg R 0.409
U 69 | F 69 | G 22 | D 0 | EPS 0.943 | L -13.686 | R 9.000 | Avg L -0.622 | Avg R 0.409
U 69 | F 69 | G 23 | D 0 | EPS 0.943 | L -14.715 | R 9.000 | Avg L -0.640 | Avg R 0.391
U 70 | F 70 | G 23 | D 0 | EPS 0.943 | L -14.715 | R 9.000 | Avg L -0.640 | Avg R 0.391
U 71 | F 71 | G 23 | D 0 | EPS 0.942 | L -14.715 | R 9.000 | Avg L -0.640 | Avg R 0.391
U 72 | F 72 | G 23 | D 0 | EPS 0.941 | L -14.715 | R 9.000 | Avg L -0.640 | Avg R 0.391
U 72 | F 72 | G 24 | D 0 | EPS 0.940 | L -14.730 | R 10.000 | Avg L -0.614 | Avg R 0.417
U 73 | F 73 | G 24 | D 0 | EPS 0.940 | L -14.730 | R 10.000 | Avg L -0.614 | Avg R 0.417
U 74 | F 74 | G 24 | D 0 | EPS 0.939 | L -14.730 | R 10.000 | Avg L -0.614 | Avg R 0.417
U 75 | F 75 | G 24 | D 0 | EPS 0.938 | L -14.730 | R 10.000 | Avg L -0.614 | Avg R 0.417
U 75 | F 75 | G 25 | D 0 | EPS 0.938 | L -14.756 | R 11.000 | Avg L -0.590 | Avg R 0.440
U 76 | F 76 | G 25 | D 0 | EPS 0.938 | L -14.756 | R 11.000 | Avg L -0.590 | Avg R 0.440
U 77 | F 77 | G 25 | D 0 | EPS 0.937 | L -14.756 | R 11.000 | Avg L -0.590 | Avg R 0.440
U 78 | F 78 | G 25 | D 0 | EPS 0.936 | L -14.756 | R 11.000 | Avg L -0.590 | Avg R 0.440
U 78 | F 78 | G 26 | D 0 | EPS 0.935 | L -14.773 | R 12.000 | Avg L -0.568 | Avg R 0.462
U 79 | F 79 | G 26 | D 0 | EPS 0.935 | L -14.773 | R 12.000 | Avg L -0.568 | Avg R 0.462
U 80 | F 80 | G 26 | D 0 | EPS 0.934 | L -14.773 | R 12.000 | Avg L -0.568 | Avg R 0.462
U 81 | F 81 | G 26 | D 0 | EPS 0.933 | L -14.773 | R 12.000 | Avg L -0.568 | Avg R 0.462
U 81 | F 81 | G 27 | D 0 | EPS 0.932 | L -15.697 | R 12.000 | Avg L -0.581 | Avg R 0.444
U 82 | F 82 | G 27 | D 0 | EPS 0.932 | L -15.697 | R 12.000 | Avg L -0.581 | Avg R 0.444
U 83 | F 83 | G 27 | D 0 | EPS 0.932 | L -15.697 | R 12.000 | Avg L -0.581 | Avg R 0.444
U 84 | F 84 | G 27 | D 0 | EPS 0.931 | L -15.697 | R 12.000 | Avg L -0.581 | Avg R 0.444
U 84 | F 84 | G 28 | D 0 | EPS 0.930 | L -15.723 | R 13.000 | Avg L -0.562 | Avg R 0.464
U 85 | F 85 | G 28 | D 0 | EPS 0.930 | L -15.723 | R 13.000 | Avg L -0.562 | Avg R 0.464
U 86 | F 86 | G 28 | D 0 | EPS 0.929 | L -15.723 | R 13.000 | Avg L -0.562 | Avg R 0.464
U 87 | F 87 | G 28 | D 0 | EPS 0.928 | L -15.723 | R 13.000 | Avg L -0.562 | Avg R 0.464
U 87 | F 87 | G 29 | D 0 | EPS 0.927 | L -15.748 | R 14.000 | Avg L -0.543 | Avg R 0.483
U 88 | F 88 | G 29 | D 0 | EPS 0.927 | L -15.748 | R 14.000 | Avg L -0.543 | Avg R 0.483
U 89 | F 89 | G 29 | D 0 | EPS 0.927 | L -15.748 | R 14.000 | Avg L -0.543 | Avg R 0.483
U 90 | F 90 | G 29 | D 0 | EPS 0.926 | L -15.748 | R 14.000 | Avg L -0.543 | Avg R 0.483
U 90 | F 90 | G 30 | D 0 | EPS 0.925 | L -15.764 | R 15.000 | Avg L -0.525 | Avg R 0.500
U 91 | F 91 | G 30 | D 0 | EPS 0.925 | L -15.764 | R 15.000 | Avg L -0.525 | Avg R 0.500
U 92 | F 92 | G 30 | D 0 | EPS 0.924 | L -15.764 | R 15.000 | Avg L -0.525 | Avg R 0.500
U 93 | F 93 | G 30 | D 0 | EPS 0.923 | L -15.764 | R 15.000 | Avg L -0.525 | Avg R 0.500
U 93 | F 93 | G 31 | D 0 | EPS 0.922 | L -16.740 | R 15.000 | Avg L -0.540 | Avg R 0.484
U 94 | F 94 | G 31 | D 0 | EPS 0.922 | L -16.740 | R 15.000 | Avg L -0.540 | Avg R 0.484
U 95 | F 95 | G 31 | D 0 | EPS 0.922 | L -16.740 | R 15.000 | Avg L -0.540 | Avg R 0.484
U 96 | F 96 | G 31 | D 0 | EPS 0.921 | L -16.740 | R 15.000 | Avg L -0.540 | Avg R 0.484
U 96 | F 96 | G 32 | D 0 | EPS 0.920 | L -17.862 | R 15.000 | Avg L -0.558 | Avg R 0.469
U 97 | F 97 | G 32 | D 0 | EPS 0.920 | L -17.862 | R 15.000 | Avg L -0.558 | Avg R 0.469
U 98 | F 98 | G 32 | D 0 | EPS 0.919 | L -17.862 | R 15.000 | Avg L -0.558 | Avg R 0.469
U 99 | F 99 | G 32 | D 0 | EPS 0.918 | L -17.862 | R 15.000 | Avg L -0.558 | Avg R 0.469
U 99 | F 99 | G 33 | D 0 | EPS 0.917 | L -18.887 | R 15.000 | Avg L -0.572 | Avg R 0.455
U 100 | F 100 | G 33 | D 0 | EPS 0.917 | L -18.887 | R 15.000 | Avg L -0.572 | Avg R 0.455
U 101 | F 101 | G 33 | D 0 | EPS 0.917 | L -18.887 | R 15.000 | Avg L -0.572 | Avg R 0.455
U 102 | F 102 | G 33 | D 0 | EPS 0.916 | L -18.887 | R 15.000 | Avg L -0.572 | Avg R 0.455
U 102 | F 102 | G 34 | D 0 | EPS 0.915 | L -18.857 | R 16.000 | Avg L -0.555 | Avg R 0.471
U 103 | F 103 | G 34 | D 0 | EPS 0.915 | L -18.857 | R 16.000 | Avg L -0.555 | Avg R 0.471
U 104 | F 104 | G 34 | D 0 | EPS 0.914 | L -18.857 | R 16.000 | Avg L -0.555 | Avg R 0.471
U 105 | F 105 | G 34 | D 0 | EPS 0.913 | L -18.857 | R 16.000 | Avg L -0.555 | Avg R 0.471
U 105 | F 105 | G 35 | D 0 | EPS 0.912 | L -19.856 | R 16.000 | Avg L -0.567 | Avg R 0.457
U 106 | F 106 | G 35 | D 0 | EPS 0.912 | L -19.856 | R 16.000 | Avg L -0.567 | Avg R 0.457
U 107 | F 107 | G 35 | D 0 | EPS 0.912 | L -19.856 | R 16.000 | Avg L -0.567 | Avg R 0.457
U 108 | F 108 | G 35 | D 0 | EPS 0.911 | L -19.856 | R 16.000 | Avg L -0.567 | Avg R 0.457
U 108 | F 108 | G 36 | D 0 | EPS 0.910 | L -20.880 | R 16.000 | Avg L -0.580 | Avg R 0.444
U 109 | F 109 | G 36 | D 0 | EPS 0.910 | L -20.880 | R 16.000 | Avg L -0.580 | Avg R 0.444
U 110 | F 110 | G 36 | D 0 | EPS 0.909 | L -20.880 | R 16.000 | Avg L -0.580 | Avg R 0.444
U 111 | F 111 | G 36 | D 0 | EPS 0.908 | L -20.880 | R 16.000 | Avg L -0.580 | Avg R 0.444
U 111 | F 111 | G 37 | D 0 | EPS 0.907 | L -21.900 | R 16.000 | Avg L -0.592 | Avg R 0.432
U 112 | F 112 | G 37 | D 0 | EPS 0.907 | L -21.900 | R 16.000 | Avg L -0.592 | Avg R 0.432
U 113 | F 113 | G 37 | D 0 | EPS 0.907 | L -21.900 | R 16.000 | Avg L -0.592 | Avg R 0.432
U 114 | F 114 | G 37 | D 0 | EPS 0.906 | L -21.900 | R 16.000 | Avg L -0.592 | Avg R 0.432
U 114 | F 114 | G 38 | D 0 | EPS 0.905 | L -21.924 | R 17.000 | Avg L -0.577 | Avg R 0.447
U 115 | F 115 | G 38 | D 0 | EPS 0.905 | L -21.924 | R 17.000 | Avg L -0.577 | Avg R 0.447
U 116 | F 116 | G 38 | D 0 | EPS 0.904 | L -21.924 | R 17.000 | Avg L -0.577 | Avg R 0.447
U 117 | F 117 | G 38 | D 0 | EPS 0.903 | L -21.924 | R 17.000 | Avg L -0.577 | Avg R 0.447
U 117 | F 117 | G 39 | D 0 | EPS 0.902 | L -21.948 | R 18.000 | Avg L -0.563 | Avg R 0.462
U 118 | F 118 | G 39 | D 0 | EPS 0.902 | L -21.948 | R 18.000 | Avg L -0.563 | Avg R 0.462
U 119 | F 119 | G 39 | D 0 | EPS 0.902 | L -21.948 | R 18.000 | Avg L -0.563 | Avg R 0.462
U 120 | F 120 | G 39 | D 0 | EPS 0.901 | L -21.948 | R 18.000 | Avg L -0.563 | Avg R 0.462
U 120 | F 120 | G 40 | D 0 | EPS 0.900 | L -22.972 | R 18.000 | Avg L -0.574 | Avg R 0.450
U 121 | F 121 | G 40 | D 0 | EPS 0.900 | L -22.972 | R 18.000 | Avg L -0.574 | Avg R 0.450
U 122 | F 122 | G 40 | D 0 | EPS 0.899 | L -22.972 | R 18.000 | Avg L -0.574 | Avg R 0.450
U 123 | F 123 | G 40 | D 0 | EPS 0.898 | L -22.972 | R 18.000 | Avg L -0.574 | Avg R 0.450
U 123 | F 123 | G 41 | D 0 | EPS 0.897 | L -22.996 | R 19.000 | Avg L -0.561 | Avg R 0.463
U 124 | F 124 | G 41 | D 0 | EPS 0.897 | L -22.996 | R 19.000 | Avg L -0.561 | Avg R 0.463
U 125 | F 125 | G 41 | D 0 | EPS 0.897 | L -22.996 | R 19.000 | Avg L -0.561 | Avg R 0.463
U 126 | F 126 | G 41 | D 0 | EPS 0.896 | L -22.996 | R 19.000 | Avg L -0.561 | Avg R 0.463
U 126 | F 126 | G 42 | D 0 | EPS 0.895 | L -23.007 | R 20.000 | Avg L -0.548 | Avg R 0.476
U 127 | F 127 | G 42 | D 0 | EPS 0.895 | L -23.007 | R 20.000 | Avg L -0.548 | Avg R 0.476
U 128 | F 128 | G 42 | D 0 | EPS 0.894 | L -23.007 | R 20.000 | Avg L -0.548 | Avg R 0.476
U 129 | F 129 | G 42 | D 0 | EPS 0.893 | L -23.007 | R 20.000 | Avg L -0.548 | Avg R 0.476
U 129 | F 129 | G 43 | D 0 | EPS 0.892 | L -22.984 | R 21.000 | Avg L -0.535 | Avg R 0.488
U 130 | F 130 | G 43 | D 0 | EPS 0.892 | L -22.984 | R 21.000 | Avg L -0.535 | Avg R 0.488
U 131 | F 131 | G 43 | D 0 | EPS 0.892 | L -22.984 | R 21.000 | Avg L -0.535 | Avg R 0.488
U 132 | F 132 | G 43 | D 0 | EPS 0.891 | L -22.984 | R 21.000 | Avg L -0.535 | Avg R 0.488
U 132 | F 132 | G 44 | D 0 | EPS 0.890 | L -24.055 | R 21.000 | Avg L -0.547 | Avg R 0.477
U 133 | F 133 | G 44 | D 0 | EPS 0.890 | L -24.055 | R 21.000 | Avg L -0.547 | Avg R 0.477
U 134 | F 134 | G 44 | D 0 | EPS 0.889 | L -24.055 | R 21.000 | Avg L -0.547 | Avg R 0.477
U 135 | F 135 | G 44 | D 0 | EPS 0.888 | L -24.055 | R 21.000 | Avg L -0.547 | Avg R 0.477
U 135 | F 135 | G 45 | D 0 | EPS 0.887 | L -25.218 | R 21.000 | Avg L -0.560 | Avg R 0.467
U 136 | F 136 | G 45 | D 0 | EPS 0.887 | L -25.218 | R 21.000 | Avg L -0.560 | Avg R 0.467
U 137 | F 137 | G 45 | D 0 | EPS 0.887 | L -25.218 | R 21.000 | Avg L -0.560 | Avg R 0.467
U 138 | F 138 | G 45 | D 0 | EPS 0.886 | L -25.218 | R 21.000 | Avg L -0.560 | Avg R 0.467
U 138 | F 138 | G 46 | D 0 | EPS 0.885 | L -26.237 | R 21.000 | Avg L -0.570 | Avg R 0.457
U 139 | F 139 | G 46 | D 0 | EPS 0.885 | L -26.237 | R 21.000 | Avg L -0.570 | Avg R 0.457
U 140 | F 140 | G 46 | D 0 | EPS 0.884 | L -26.237 | R 21.000 | Avg L -0.570 | Avg R 0.457
U 141 | F 141 | G 46 | D 0 | EPS 0.883 | L -26.237 | R 21.000 | Avg L -0.570 | Avg R 0.457
U 141 | F 141 | G 47 | D 0 | EPS 0.883 | L -26.248 | R 22.000 | Avg L -0.558 | Avg R 0.468
U 142 | F 142 | G 47 | D 0 | EPS 0.883 | L -26.248 | R 22.000 | Avg L -0.558 | Avg R 0.468
U 143 | F 143 | G 47 | D 0 | EPS 0.882 | L -26.248 | R 22.000 | Avg L -0.558 | Avg R 0.468
U 144 | F 144 | G 47 | D 0 | EPS 0.881 | L -26.248 | R 22.000 | Avg L -0.558 | Avg R 0.468
U 144 | F 144 | G 48 | D 0 | EPS 0.880 | L -27.219 | R 22.000 | Avg L -0.567 | Avg R 0.458
U 145 | F 145 | G 48 | D 0 | EPS 0.880 | L -27.219 | R 22.000 | Avg L -0.567 | Avg R 0.458
U 146 | F 146 | G 48 | D 0 | EPS 0.879 | L -27.219 | R 22.000 | Avg L -0.567 | Avg R 0.458
U 147 | F 147 | G 48 | D 0 | EPS 0.878 | L -27.219 | R 22.000 | Avg L -0.567 | Avg R 0.458
U 147 | F 147 | G 49 | D 0 | EPS 0.877 | L -27.241 | R 23.000 | Avg L -0.556 | Avg R 0.469
U 148 | F 148 | G 49 | D 0 | EPS 0.877 | L -27.241 | R 23.000 | Avg L -0.556 | Avg R 0.469
U 149 | F 149 | G 49 | D 0 | EPS 0.877 | L -27.241 | R 23.000 | Avg L -0.556 | Avg R 0.469
U 150 | F 150 | G 49 | D 0 | EPS 0.876 | L -27.241 | R 23.000 | Avg L -0.556 | Avg R 0.469
U 150 | F 150 | G 50 | D 0 | EPS 0.875 | L -27.209 | R 24.000 | Avg L -0.544 | Avg R 0.480
U 151 | F 151 | G 50 | D 0 | EPS 0.875 | L -27.209 | R 24.000 | Avg L -0.544 | Avg R 0.480
U 152 | F 152 | G 50 | D 0 | EPS 0.874 | L -27.209 | R 24.000 | Avg L -0.544 | Avg R 0.480
U 153 | F 153 | G 50 | D 0 | EPS 0.873 | L -27.209 | R 24.000 | Avg L -0.544 | Avg R 0.480
U 153 | F 153 | G 51 | D 0 | EPS 0.873 | L -27.230 | R 25.000 | Avg L -0.534 | Avg R 0.490
U 154 | F 154 | G 51 | D 0 | EPS 0.873 | L -27.230 | R 25.000 | Avg L -0.534 | Avg R 0.490
U 155 | F 155 | G 51 | D 0 | EPS 0.872 | L -27.230 | R 25.000 | Avg L -0.534 | Avg R 0.490
U 156 | F 156 | G 51 | D 0 | EPS 0.871 | L -27.230 | R 25.000 | Avg L -0.534 | Avg R 0.490
U 156 | F 156 | G 52 | D 0 | EPS 0.870 | L -27.251 | R 26.000 | Avg L -0.524 | Avg R 0.500
U 157 | F 157 | G 52 | D 0 | EPS 0.870 | L -27.251 | R 26.000 | Avg L -0.524 | Avg R 0.500
U 158 | F 158 | G 52 | D 0 | EPS 0.869 | L -27.251 | R 26.000 | Avg L -0.524 | Avg R 0.500
U 159 | F 159 | G 52 | D 0 | EPS 0.868 | L -27.251 | R 26.000 | Avg L -0.524 | Avg R 0.500
U 159 | F 159 | G 53 | D 0 | EPS 0.867 | L -28.272 | R 26.000 | Avg L -0.533 | Avg R 0.491
U 160 | F 160 | G 53 | D 0 | EPS 0.867 | L -28.272 | R 26.000 | Avg L -0.533 | Avg R 0.491
U 161 | F 161 | G 53 | D 0 | EPS 0.867 | L -28.272 | R 26.000 | Avg L -0.533 | Avg R 0.491
U 162 | F 162 | G 53 | D 0 | EPS 0.866 | L -28.272 | R 26.000 | Avg L -0.533 | Avg R 0.491
U 162 | F 162 | G 54 | D 0 | EPS 0.865 | L -28.288 | R 27.000 | Avg L -0.524 | Avg R 0.500
U 163 | F 163 | G 54 | D 0 | EPS 0.865 | L -28.288 | R 27.000 | Avg L -0.524 | Avg R 0.500
U 164 | F 164 | G 54 | D 0 | EPS 0.864 | L -28.288 | R 27.000 | Avg L -0.524 | Avg R 0.500
U 165 | F 165 | G 54 | D 0 | EPS 0.863 | L -28.288 | R 27.000 | Avg L -0.524 | Avg R 0.500
U 165 | F 165 | G 55 | D 0 | EPS 0.863 | L -29.309 | R 27.000 | Avg L -0.533 | Avg R 0.491
U 166 | F 166 | G 55 | D 0 | EPS 0.863 | L -29.309 | R 27.000 | Avg L -0.533 | Avg R 0.491
U 167 | F 167 | G 55 | D 0 | EPS 0.862 | L -29.309 | R 27.000 | Avg L -0.533 | Avg R 0.491
U 168 | F 168 | G 55 | D 0 | EPS 0.861 | L -29.309 | R 27.000 | Avg L -0.533 | Avg R 0.491
